📽直播通用线路,#genre#
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://stream.qhbtv.com/adws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8

🐉 黑龙江移动专线,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
上海东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
深圳卫视-SD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
延边,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
某地区教育频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
北京纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
健康有约,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精彩搏击,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
黑龙江影视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江新闻法治 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江文体 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江都市 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江农业科教 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
哈尔滨影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8
哈尔滨综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
哈尔滨生活,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8
哈尔滨综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨生活,http://streamings.hrbtv.net/09e35fcca53542bfa24a6b34e0fc2ff8/h264_400k_ts/index.m3u8?type=hls_live_redirect
佳木斯新闻综合 2.5M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
牡丹江新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
鹤岗新闻综合 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
漠河综合频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8

🏛️北京联通专线,#genre#
CCTV-1高清,http://123.122.162.250:19999/rtp/239.3.1.129:8008
CCTV-2高清,http://123.122.162.250:19999/rtp/239.3.1.60:8084
CCTV-3高清,http://123.122.162.250:19999/rtp/239.3.1.172:8001
CCTV-4高清,http://123.122.162.250:19999/rtp/239.3.1.105:8092
CCTV-4美洲高清,http://123.122.162.250:19999/rtp/239.3.1.214:4220
CCTV-4欧洲高清,http://123.122.162.250:19999/rtp/239.3.1.213:4220
CCTV-5高清,http://123.122.162.250:19999/rtp/239.3.1.173:8001
CCTV-5+,http://123.122.162.250:19999/rtp/239.3.1.130:8004
CCTV-6高清,http://123.122.162.250:19999/rtp/239.3.1.174:8001
CCTV-7高清,http://123.122.162.250:19999/rtp/239.3.1.61:8104
CCTV-8高清,http://123.122.162.250:19999/rtp/239.3.1.175:8001
CCTV-9高清,http://123.122.162.250:19999/rtp/239.3.1.62:8112
CCTV-10高清,http://123.122.162.250:19999/rtp/239.3.1.63:8116
CCTV-11高清,http://123.122.162.250:19999/rtp/239.3.1.152:8120
CCTV-12高清,http://123.122.162.250:19999/rtp/239.3.1.64:8124
CCTV-13高清,http://123.122.162.250:19999/rtp/239.3.1.124:8128
CCTV-14高清,http://123.122.162.250:19999/rtp/239.3.1.65:8132
CCTV-15高清,http://123.122.162.250:19999/rtp/239.3.1.153:8136
CCTV-16高清,http://123.122.162.250:19999/rtp/239.3.1.184:8001
CCTV17-高清,http://123.122.162.250:19999/rtp/239.3.1.151:8144
BRTV北京卫视高清,http://123.122.162.250:19999/rtp/239.3.1.241:8000
BRTV文艺高清,http://123.122.162.250:19999/rtp/239.3.1.242:8000
BRTV纪实科教高清,http://123.122.162.250:19999/rtp/239.3.1.115:8000
BRTV影视高清,http://123.122.162.250:19999/rtp/239.3.1.158:8000
BRTV财*高清,http://123.122.162.250:19999/rtp/239.3.1.116:8000
BRTV体育休闲高清,http://123.122.162.250:19999/rtp/239.3.1.243:8000
BRTV生活高清,http://123.122.162.250:19999/rtp/239.3.1.117:8000
BRTV新闻高清,http://123.122.162.250:19999/rtp/239.3.1.159:8000
BRTV卡酷少儿高清,http://123.122.162.250:19999/rtp/239.3.1.189:8000
湖南卫视高清,http://123.122.162.250:19999/rtp/239.3.1.132:8012
江苏卫视高清,http://123.122.162.250:19999/rtp/239.3.1.135:8028
东方卫视高清,http://123.122.162.250:19999/rtp/239.3.1.136:8032
浙江卫视高清,http://123.122.162.250:19999/rtp/239.3.1.137:8036
湖北卫视高清,http://123.122.162.250:19999/rtp/239.3.1.138:8044
天津卫视高清,http://123.122.162.250:19999/rtp/239.3.1.141:1234
山东卫视高清,http://123.122.162.250:19999/rtp/239.3.1.209:8052
辽宁卫视高清,http://123.122.162.250:19999/rtp/239.3.1.210:8056
安徽卫视高清,http://123.122.162.250:19999/rtp/239.3.1.211:8064
黑龙江卫视高清,http://123.122.162.250:19999/rtp/239.3.1.133:8016
贵州卫视高清,http://123.122.162.250:19999/rtp/239.3.1.149:8076
东南卫视高清,http://123.122.162.250:19999/rtp/239.3.1.156:8148
重庆卫视高清,http://123.122.162.250:19999/rtp/239.3.1.122:8160
江西卫视高清,http://123.122.162.250:19999/rtp/239.3.1.123:8164
广东卫视高清,http://123.122.162.250:19999/rtp/239.3.1.142:8048
河北卫视高清,http://123.122.162.250:19999/rtp/239.3.1.148:8072
深圳卫视高清,http://123.122.162.250:19999/rtp/239.3.1.134:8020
吉林卫视高清,http://123.122.162.250:19999/rtp/239.3.1.240:8172
CCTV-16 4K,http://123.122.162.250:19999/rtp/239.3.1.183:8001
BRTV体育休闲4K HDR,http://123.122.162.250:19999/rtp/239.3.1.120:8000
BRTV体育休闲4K SDR,http://123.122.162.250:19999/rtp/239.3.1.121:8000
4K超清,http://123.122.162.250:19999/rtp/239.3.1.249:8001
爱上4K,http://123.122.162.250:19999/rtp/239.3.1.236:2000
IPTV5＋高清,http://123.122.162.250:19999/rtp/239.3.1.237:4120
体育赛事高清,http://123.122.162.250:19999/rtp/239.3.1.157:8176
中国交通,http://123.122.162.250:19999/rtp/239.3.1.188:8001
纪实频道HD,http://123.122.162.250:19999/rtp/239.3.1.212:8060
CETV1高清,http://123.122.162.250:19999/rtp/239.3.1.57:8152
金鹰纪实高清,http://123.122.162.250:19999/rtp/239.3.1.58:8156
CGTN英语,http://123.122.162.250:19999/rtp/239.3.1.215:4220
CGTN英文纪录,http://123.122.162.250:19999/rtp/239.3.1.216:4220
CGTN西班牙语,http://123.122.162.250:19999/rtp/239.3.1.217:4220
CGTN法语,http://123.122.162.250:19999/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://123.122.162.250:19999/rtp/239.3.1.219:4220
CGTN俄语,http://123.122.162.250:19999/rtp/239.3.1.220:4220
淘精彩,http://123.122.162.250:19999/rtp/239.3.1.178:8001
淘Baby,http://123.122.162.250:19999/rtp/239.3.1.238:8001
淘剧场,http://123.122.162.250:19999/rtp/239.3.1.95:8001
淘电影,http://123.122.162.250:19999/rtp/239.3.1.250:8001
淘娱乐,http://123.122.162.250:19999/rtp/239.3.1.100:8001
熊猫频道,http://123.122.162.250:19999/rtp/239.3.1.66:8068
萌宠TV,http://123.122.162.250:19999/rtp/239.3.1.102:8001
快乐垂钓,http://123.122.162.250:19999/rtp/239.3.1.164:8001
茶,http://123.122.162.250:19999/rtp/239.3.1.165:8001
大健康,http://123.122.162.250:19999/rtp/239.3.1.251:8001
央广购物,http://123.122.162.250:19999/rtp/239.3.1.222:8001
央广购物精选,http://123.122.162.250:19999/rtp/239.3.1.223:8001
优购物,http://123.122.162.250:19999/rtp/239.3.1.180:8001
时尚购物,http://123.122.162.250:19999/rtp/239.3.1.181:8001
优购物精选,http://123.122.162.250:19999/rtp/239.3.1.190:8001
时尚购物精选,http://123.122.162.250:19999/rtp/239.3.1.191:8001
家有购物,http://123.122.162.250:19999/rtp/239.3.1.185:8001
家有购物精选,http://123.122.162.250:19999/rtp/239.3.1.186:8001
聚鲨环球精选,http://123.122.162.250:19999/rtp/239.3.1.179:8001
CCTV-1,http://123.122.162.250:19999/rtp/239.3.1.1:8000
CCTV-2,http://123.122.162.250:19999/rtp/239.3.1.2:8004
CCTV-3,http://123.122.162.250:19999/rtp/239.3.1.107:8001
CCTV-4,http://123.122.162.250:19999/rtp/239.3.1.4:8216
CCTV-5,http://123.122.162.250:19999/rtp/239.3.1.108:8001
CCTV-6,http://123.122.162.250:19999/rtp/239.3.1.109:8001
CCTV-7,http://123.122.162.250:19999/rtp/239.3.1.7:8024
CCTV-8,http://123.122.162.250:19999/rtp/239.3.1.110:8001
CCTV-9,http://123.122.162.250:19999/rtp/239.3.1.9:8032
CCTV-10,http://123.122.162.250:19999/rtp/239.3.1.10:8228
CCTV-11,http://123.122.162.250:19999/rtp/239.3.1.11:8040
CCTV-12,http://123.122.162.250:19999/rtp/239.3.1.12:8232
CCTV-13,http://123.122.162.250:19999/rtp/239.3.1.13:8048
CCTV-14,http://123.122.162.250:19999/rtp/239.3.1.14:8236
CCTV-15,http://123.122.162.250:19999/rtp/239.3.1.15:8052
CCTV-17,http://123.122.162.250:19999/rtp/239.3.1.150:8064
BRTV北京卫视,http://123.122.162.250:19999/rtp/239.3.1.225:8000
BRTV文艺,http://123.122.162.250:19999/rtp/239.3.1.226:8000
BRTV纪实科教,http://123.122.162.250:19999/rtp/239.3.1.227:8000
BRTV影视,http://123.122.162.250:19999/rtp/239.3.1.228:8000
BRTV财*,http://123.122.162.250:19999/rtp/239.3.1.229:8000
BRTV体育休闲,http://123.122.162.250:19999/rtp/239.3.1.230:8000
